Is_Solved,Filepath,L,Sat_Clauses,Total_Clauses,Time,Method
1,bench/test/uf3-09.cnf,3,6,6,0.000205384,RK4
1,bench/test/uf3-09.cnf,3,6,6,0.000147147,Leapfrog
1,bench/test/uf3-16.cnf,3,6,6,0.000150465,Leapfrog
1,bench/test/uf3-16.cnf,3,6,6,0.000231185,RK4
1,bench/test/uf3-09.cnf,3,6,6,0.00438988,DP8Adaptive
1,bench/test/uf3-16.cnf,3,6,6,0.00509157,DP8Adaptive
1,bench/test/uf3-17.cnf,3,6,6,0.0953922,Leapfrog
1,bench/test/uf3-15.cnf,3,6,6,0.0996327,Leapfrog
1,bench/test/uf3-17.cnf,3,6,6,0.198733,RK4
1,bench/test/uf3-06.cnf,3,6,6,0.228569,Leapfrog
1,bench/test/uf3-15.cnf,3,6,6,0.228194,RK4
1,bench/test/uf3-10.cnf,3,6,6,0.148572,RK4
1,bench/test/uf3-07.cnf,3,6,6,0.0138144,RK4
1,bench/test/uf3-07.cnf,3,6,6,0.00997599,Leapfrog
0,bench/test/uf3-14.cnf,3,5,6,0.269688,Leapfrog
1,bench/test/uf3-10.cnf,3,6,6,0.18103,Leapfrog
1,bench/test/uf3-06.cnf,3,6,6,0.384448,RK4
0,bench/test/uf3-00.cnf,3,5,6,0.276135,Leapfrog
0,bench/test/uf3-14.cnf,3,5,6,0.553291,RK4
0,bench/test/uf3-18.cnf,3,5,6,0.266584,Leapfrog
1,bench/test/uf3-17.cnf,3,6,6,0.661897,DP8Adaptive
1,bench/test/uf3-15.cnf,3,6,6,0.903408,DP8Adaptive
1,bench/test/uf3-07.cnf,3,6,6,0.669864,DP8Adaptive
0,bench/test/uf3-00.cnf,3,5,6,0.684065,RK4
0,bench/test/uf3-18.cnf,3,5,6,0.679428,RK4
0,bench/test/uf3-06.cnf,3,5,6,1.96193,DP8Adaptive
0,bench/test/uf3-10.cnf,3,5,6,2.01695,DP8Adaptive
0,bench/test/uf3-00.cnf,3,5,6,1.98757,DP8Adaptive
0,bench/test/uf3-14.cnf,3,5,6,2.44715,DP8Adaptive
0,bench/test/uf3-18.cnf,3,5,6,2.04546,DP8Adaptive
1,bench/test/uf5-05.cnf,5,21,21,0.817829,Leapfrog
1,bench/test/uf5-05.cnf,5,21,21,2.14697,RK4
0,bench/test/uf5-07.cnf,5,20,21,2.47751,Leapfrog
0,bench/test/uf5-10.cnf,5,20,21,2.46358,Leapfrog
0,bench/test/uf5-07.cnf,5,20,21,4.92514,RK4
0,bench/test/uf5-04.cnf,5,20,21,3.17392,Leapfrog
0,bench/test/uf5-17.cnf,5,20,21,3.17258,Leapfrog
0,bench/test/uf5-04.cnf,5,20,21,4.94208,RK4
0,bench/test/uf5-10.cnf,5,20,21,6.41839,RK4
