Filepath,L,OdeMethod,GA_Time_Seconds,c_att,c_opp,c_clause,gamma
bench/test/uf3-09.cnf,3,RK4,0.0107239,0.140501,1.56147,1.30038,1.86821
bench/test/uf3-09.cnf,3,Leapfrog,0.0101244,0.417959,2.60032,2.74821,1.31641
bench/test/uf3-16.cnf,3,Leapfrog,0.0143555,0.633115,1.5054,1.96641,1.086
bench/test/uf3-16.cnf,3,RK4,0.017759,0.298542,2.33513,2.17475,1.2486
bench/test/uf3-16.cnf,3,DP8,0.0228986,0.476074,2.69216,1.22491,1.29081
bench/test/uf3-09.cnf,3,DP8,0.0260599,0.934318,1.35897,2.49027,2.36436
bench/test/uf3-17.cnf,3,RK4,0.0134516,0.194244,2.10039,1.26045,1.7771
bench/test/uf3-17.cnf,3,Leapfrog,0.012184,0.707778,2.09169,2.09728,2.14877
bench/test/uf3-06.cnf,3,Leapfrog,0.0114985,0.553649,2.74477,2.40029,1.02243
bench/test/uf3-06.cnf,3,RK4,0.0220336,0.371097,2.35725,2.19722,1.39313
bench/test/uf3-17.cnf,3,DP8,0.0455238,0.949547,3.35194,2.34737,2.56492
bench/test/uf3-06.cnf,3,DP8,0.0414258,0.354712,2.28912,0.26258,2.57316
bench/test/uf3-16.cnf,3,DP8Adaptive,0.313833,0.373964,2.55048,1.4325,1.96977
bench/test/uf3-10.cnf,3,RK4,0.0103401,0.716634,1.94832,1.56637,0.725131
bench/test/uf3-10.cnf,3,DP8,0.0418483,0.958829,2.00763,1.66216,2.13728
bench/test/uf3-06.cnf,3,DP8Adaptive,0.346276,0.848543,1.437,2.47459,2.35932
bench/test/uf3-09.cnf,3,DP8Adaptive,0.397303,0.661351,1.87593,2.14597,1.42357
bench/test/uf3-10.cnf,3,Leapfrog,0.00737351,0.63441,2.96618,0.657564,2.07517
bench/test/uf3-17.cnf,3,DP8Adaptive,0.373337,0.448491,1.73662,2.19209,0.946626
bench/test/uf3-07.cnf,3,Leapfrog,0.0643585,0.602576,2.86472,2.10226,1.83711
bench/test/uf3-07.cnf,3,RK4,0.124379,1.13682,1.62667,3.17096,0.476359
bench/test/uf3-14.cnf,3,Leapfrog,0.528549,1.0754,2.9064,0.481145,0.461216
bench/test/uf3-00.cnf,3,RK4,0.0182787,0.793863,1.81054,2.51227,0.883243
bench/test/uf3-00.cnf,3,DP8,0.0270954,0.97763,2.4069,1.12512,1.02647
bench/test/uf3-00.cnf,3,Leapfrog,0.00939857,0.599488,3.02048,2.48746,1.55715
bench/test/uf3-18.cnf,3,RK4,0.22771,0.464612,2.16352,2.79341,2.12221
bench/test/uf3-15.cnf,3,Leapfrog,0.777226,1.00858,2.86889,1.99903,2.78901
bench/test/uf3-10.cnf,3,DP8Adaptive,0.453507,0.616778,2.6915,1.4264,1.97423
bench/test/uf3-07.cnf,3,DP8,0.472964,0.375163,1.89482,3.54433,1.8722
bench/test/uf3-05.cnf,3,RK4,0.0107814,0.55855,2.94996,2.70684,1.4568
bench/test/uf3-00.cnf,3,DP8Adaptive,0.342412,0.516643,1.96672,1.44694,1.47355
bench/test/uf3-05.cnf,3,Leapfrog,0.0136798,0.529604,0.941065,2.05334,1.03554
bench/test/uf3-05.cnf,3,DP8,0.0380897,0.492464,1.73291,3.87284,1.00929
bench/test/uf3-11.cnf,3,RK4,0.0113837,0.331142,2.77917,2.7541,1.80364
bench/test/uf3-18.cnf,3,Leapfrog,0.114017,0.849329,2.20293,2.30126,0.563175
bench/test/uf3-11.cnf,3,Leapfrog,0.016774,0.867388,1.12511,3.65654,1.49375
bench/test/uf3-11.cnf,3,DP8,0.0479489,0.652003,2.78495,2.20434,0.895362
bench/test/uf3-08.cnf,3,RK4,0.00929399,0.992501,0.942815,1.51791,2.06723
bench/test/uf3-08.cnf,3,DP8,0.0437444,0.866735,1.08995,1.71058,2.32794
bench/test/uf3-08.cnf,3,Leapfrog,0.0127161,0.429384,3.57981,2.25614,2.30012
bench/test/uf3-18.cnf,3,DP8,0.500958,0.555715,3.08146,2.23064,1.32951
bench/test/uf3-02.cnf,3,RK4,0.0133007,0.539152,1.50057,2.78402,1.56181
bench/test/uf3-05.cnf,3,DP8Adaptive,0.411606,0.535326,2.64973,2.00858,2.4942
bench/test/uf3-14.cnf,3,RK4,1.38209,0.78581,1.50256,0.702923,1.29214
bench/test/uf3-02.cnf,3,Leapfrog,0.0196763,0.609567,1.21894,0.985533,1.91312
bench/test/uf3-02.cnf,3,DP8,0.0490856,0.578232,2.51625,1.34539,1.49117
bench/test/uf3-13.cnf,3,RK4,0.0191067,0.254926,3.43383,0.78916,1.89666
bench/test/uf3-11.cnf,3,DP8Adaptive,0.40702,0.870942,2.42145,3.36849,0.878005
bench/test/uf3-13.cnf,3,Leapfrog,0.0135548,0.367884,1.43751,2.82537,0.691718
bench/test/uf3-13.cnf,3,DP8,0.0466012,1.01836,1.48633,3.19963,1.31924
bench/test/uf3-08.cnf,3,DP8Adaptive,0.350786,0.408854,0.802275,1.78731,1.73937
bench/test/uf3-03.cnf,3,RK4,0.0219038,0.626395,2.38261,2.22447,1.22015
bench/test/uf3-03.cnf,3,Leapfrog,0.0191169,0.611814,0.733925,2.58838,1.15262
bench/test/uf3-03.cnf,3,DP8,0.0458371,0.617817,0.928626,2.89981,0.503374
bench/test/uf3-04.cnf,3,RK4,0.010177,0.772961,1.7971,2.0338,1.19307
bench/test/uf3-04.cnf,3,Leapfrog,0.00771702,0.496729,3.45132,2.06356,1.14189
bench/test/uf3-04.cnf,3,DP8,0.0262477,0.518556,1.22602,1.66984,0.996642
bench/test/uf3-15.cnf,3,RK4,1.52291,1.10614,3.33429,0.594654,1.53296
bench/test/uf3-12.cnf,3,RK4,0.0182668,0.561533,1.93244,1.79214,1.77996
bench/test/uf3-12.cnf,3,Leapfrog,0.0127383,1.14894,1.827,3.6673,1.6996
bench/test/uf3-12.cnf,3,DP8,0.0451884,0.387685,1.99768,0.758184,1.28836
bench/test/uf3-19.cnf,3,RK4,0.00911285,0.745895,1.9231,2.26964,1.81658
bench/test/uf3-19.cnf,3,DP8,0.0317745,0.760349,2.30688,2.99859,2.06061
bench/test/uf3-19.cnf,3,Leapfrog,0.0154791,0.575071,1.91561,2.79092,1.12753
bench/test/uf3-02.cnf,3,DP8Adaptive,0.346007,0.135817,1.48609,2.97189,0.849682
